doc_id,v4_status,v4_error,v4_doc_level_candidates,final_records
1,completed,,9,0
2,completed,,8,0
3,completed,,5,5
4,completed,,25,4
5,completed,,25,10
6,completed,,6,0
7,completed,,4,0
8,completed,,29,20
9,completed,,0,0
11,completed,,17,0
12,completed,,6,6
13,completed,,12,5
14,completed,,14,0
15,completed,,0,0
16,completed,,1,1
17,completed,,10,0
19,completed,,6,0
20,completed,,6,6
21,completed,,0,0
22,completed,,2,2
23,completed,,12,0
25,completed,,0,0
26,completed,,0,0
27,completed,,9,9
28,completed,,0,0
29,completed,,1,0
30,completed,,7,7
31,completed,,10,0
32,completed,,4,4
33,completed,,1,1
34,completed,,7,6
35,completed,,18,0
37,completed,,10,10
38,completed,,0,0
39,completed,,3,2
40,completed,,0,0
41,completed,,1,1
42,completed,,3,0
43,completed,,0,0
45,completed,,23,18
47,completed,,9,0
48,completed,,4,2
49,completed,,12,12
50,completed,,6,0
51,completed,,0,0
52,completed,,14,12
53,completed,,6,4
54,completed,,3,0
55,completed,,0,0
56,completed,,15,14
57,completed,,8,0
59,completed,,4,0
60,completed,,3,0
61,completed,,13,0
62,completed,,12,0
63,completed,,3,3
65,completed,,25,24
66,completed,,7,0
68,completed,,0,0
70,completed,,0,0
71,completed,,0,0
72,completed,,9,0
73,completed,,0,0
74,completed,,7,7
75,completed,,8,0
76,completed,,2,2
77,completed,,30,23
78,completed,,12,9
80,completed,,11,9
81,completed,,12,10
83,completed,,7,2
84,completed,,19,18
85,completed,,15,0
88,completed,,1,0
90,completed,,9,0
91,completed,,3,3
92,completed,,6,6
93,completed,,7,7
94,completed,,3,3
95,completed,,14,0
96,completed,,31,0
98,completed,,14,14
99,completed,,3,3
100,completed,,3,0
102,completed,,2,2
103,completed,,12,12
104,completed,,12,10
105,completed,,18,17
106,completed,,7,0
107,completed,,3,0
108,completed,,0,0
109,completed,,1,1
110,completed,,1,1
111,completed,,8,2
112,completed,,29,10
113,completed,,1,1
114,completed,,13,13
116,completed,,1,1
117,completed,,5,5
118,completed,,0,0
119,completed,,44,43
120,completed,,8,0
121,completed,,8,4
122,completed,,12,0
123,completed,,3,3
124,completed,,7,0
125,completed,,15,14
126,completed,,16,4
127,completed,,0,0
128,completed,,5,0
129,completed,,6,4
130,completed,,1,0
131,completed,,11,0
132,completed,,5,3
133,completed,,10,0
135,completed,,14,0
136,completed,,0,0
137,completed,,14,0
138,completed,,0,0
139,completed,,0,0
140,completed,,1,0
141,completed,,8,0
142,completed,,11,8
143,completed,,2,0
144,completed,,2,2
145,completed,,7,6
146,completed,,16,0
147,completed,,0,0
148,completed,,4,2
149,completed,,0,0
150,completed,,22,16
151,completed,,14,14
153,completed,,16,9
154,completed,,0,0
155,completed,,19,19
156,completed,,11,7
157,completed,,4,0
158,completed,,2,0
159,completed,,1,1
160,completed,,9,0
161,completed,,10,8
163,completed,,15,0
164,completed,,22,19
165,completed,,6,5
166,completed,,11,0
167,completed,,8,8
169,completed,,5,0
170,completed,,0,0
171,completed,,2,0
176,completed,,8,0
177,completed,,22,2
178,completed,,7,7
179,completed,,3,0
180,completed,,11,10
181,completed,,15,10
182,completed,,0,0
183,completed,,1,1
184,completed,,0,0
185,completed,,4,0
187,completed,,11,0
188,completed,,4,4
189,completed,,13,8
190,completed,,0,0
191,completed,,27,17
192,completed,,9,6
193,completed,,0,0
194,completed,,3,0
195,completed,,5,3
196,completed,,4,2
197,completed,,0,0
200,completed,,7,5
201,completed,,1,1
202,completed,,6,2
203,completed,,1,1
204,completed,,6,0
205,completed,,17,0
206,completed,,25,21
207,completed,,7,5
208,completed,,7,0
209,completed,,4,0
210,completed,,9,5
