doc_id,final_records
3,5
4,4
5,10
8,20
12,6
13,5
16,1
20,6
22,2
27,9
30,7
32,4
33,1
34,6
37,10
39,2
41,1
45,18
48,2
49,12
52,12
53,4
56,14
63,3
65,24
74,7
76,2
77,23
78,9
80,9
81,10
83,2
84,18
91,3
92,6
93,7
94,3
98,14
99,3
102,2
103,12
104,10
105,17
109,1
110,1
111,2
112,10
113,1
114,13
116,1
117,5
119,43
121,4
123,3
125,14
126,4
129,4
132,3
142,8
144,2
145,6
148,2
150,16
151,14
153,9
155,19
156,7
159,1
161,8
164,19
165,5
167,8
177,2
178,7
180,10
181,10
183,1
188,4
189,8
191,17
192,6
195,3
196,2
200,5
201,1
202,2
203,1
206,21
207,5
210,5
